first_name,last_name,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,result,technical
Annetha,Mills,30,Midwife,Essex,1,1,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",IN,2
David,Chambers,31,Entrepreneur,Milton Keynes,1,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",IN,3
Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,1,Caramel Cinnamon and Banana Cake,N/A,IN,1
Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,1,1,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,IN,NA
Jonathan,Shepherd,25,Research Analyst,St Albans,1,1,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,IN,9
Lea,Harris,51,Retired,"Midlothian, Scotland",1,1,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,OUT,10
Louise,Brimelow,44,Police Officer,Manchester,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",IN,NA
Mark,Whithers,48,Bus Driver,South Wales,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,OUT,NA
Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,1,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,IN,8
Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",1,1,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,IN,NA
Annetha,Mills,30,Midwife,Essex,1,2,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,OUT,7
David,Chambers,31,Entrepreneur,Milton Keynes,1,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,IN,8
Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,2,Oatmeal Raisin Cookie,Pink Macarons,IN,6
Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,1,2,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,IN,2
Jonathan,Shepherd,25,Research Analyst,St Albans,1,2,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,IN,1
Lea,Harris,51,Retired,"Midlothian, Scotland",1,2,NA,NA,NA,NA
